,Finance,Production,Reserves / Exploration / Acquisitions / Mergers / Divestments,Environment / Regulatory / Geopolitics,Alternative Energy / Lower Carbon,Oil Price / Natural Gas Price / Gasoline Price
462,Neutral,Neutral,Neutral,Negative,Negative,Neutral
463,Positive,Positive,Neutral,Neutral,Neutral,Positive
464,Positive,Positive,Neutral,Neutral,Neutral,Positive
465,Positive,Positive,Positive,Neutral,Neutral,Positive
466,Positive,Positive,Positive,Neutral,Neutral,Positive
467,Positive,Positive,Neutral,Neutral,Neutral,Positive
468,Positive,Positive,Neutral,Neutral,Neutral,Positive
469,Negative,Negative,Negative,Negative,Neutral,Neutral
470,Positive,Positive,Neutral,Neutral,Neutral,Positive
471,Positive,Neutral,Neutral,Neutral,Neutral,Positive
472,Positive,Positive,Neutral,Neutral,Neutral,Positive
473,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
474,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
475,Positive,Positive,Neutral,Neutral,Neutral,Positive
476,Positive,Positive,Neutral,Neutral,Neutral,Positive
477,Positive,Positive,Neutral,Neutral,Neutral,Positive
478,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
479,Positive,Positive,Neutral,Neutral,Neutral,Positive
480,Negative,Negative,Negative,Negative,Neutral,Negative
481,Neutral,Negative,Neutral,Neutral,Neutral,Neutral
482,Negative,Negative,Negative,Neutral,Neutral,Negative
483,Negative,Neutral,Neutral,Neutral,Neutral,Neutral
484,Positive,Positive,Neutral,Neutral,Neutral,Positive
485,Positive,Positive,Neutral,Neutral,Neutral,Positive
486,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
487,Neutral,Neutral,Neutral,Neutral,Neutral,Negative
488,Neutral,Negative,Negative,Positive,Neutral,Neutral
489,Neutral,Neutral,Neutral,Neutral,Neutral,Negative
490,Positive,Positive,Neutral,Neutral,Neutral,Positive
491,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
492,Positive,Positive,Neutral,Neutral,Neutral,Positive
493,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
494,Positive,Positive,Neutral,Neutral,Neutral,Positive
495,Positive,Positive,Neutral,Neutral,Neutral,Positive
496,Positive,Positive,Neutral,Neutral,Neutral,Positive
497,Positive,Positive,Neutral,Neutral,Neutral,Positive
498,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
499,Positive,Positive,Neutral,Neutral,Neutral,Positive
500,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
501,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
502,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
503,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
504,Positive,Neutral,Neutral,Neutral,Neutral,Positive
505,Positive,Positive,Neutral,Neutral,Neutral,Positive
506,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
507,Positive,Positive,Neutral,Neutral,Neutral,Positive
508,Positive,Neutral,Neutral,Positive,Positive,Negative
509,Positive,Positive,Neutral,Neutral,Neutral,Positive
510,Neutral,Positive,Positive,Neutral,Neutral,Neutral
511,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
512,Negative,Negative,Negative,Negative,Neutral,Neutral
513,Negative,Negative,Negative,Negative,Neutral,Neutral
514,Positive,Positive,Neutral,Neutral,Neutral,Positive
515,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
516,Positive,Positive,Neutral,Neutral,Neutral,Positive
517,Negative,Negative,Negative,Negative,Neutral,Negative
518,Positive,Positive,Neutral,Neutral,Neutral,Positive
519,Positive,Positive,Neutral,Neutral,Neutral,Positive
520,Positive,Positive,Neutral,Neutral,Neutral,Positive
521,Neutral,Negative,Negative,Positive,Positive,Negative
522,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
523,Positive,Positive,Neutral,Neutral,Neutral,Positive
524,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
525,Positive,Positive,Neutral,Neutral,Neutral,Positive
526,Positive,Positive,Neutral,Neutral,Neutral,Positive
527,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
528,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
529,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
530,Neutral,Neutral,Neutral,Negative,Positive,Neutral
531,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
532,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
533,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
534,Negative,Negative,Neutral,Neutral,Neutral,Negative
535,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
536,Negative,Negative,Neutral,Neutral,Neutral,Negative
537,Positive,Positive,Neutral,Neutral,Neutral,Positive
538,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
539,Positive,Positive,Neutral,Neutral,Neutral,Positive
540,Positive,Positive,Neutral,Neutral,Neutral,Positive
541,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
542,Positive,Positive,Neutral,Neutral,Neutral,Positive
543,Negative,Negative,Neutral,Negative,Neutral,Negative
544,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
545,Positive,Positive,Neutral,Neutral,Neutral,Positive
546,Positive,Positive,Neutral,Neutral,Neutral,Positive
547,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
548,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
549,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
550,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
551,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
552,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
553,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
554,Positive,Positive,Neutral,Neutral,Neutral,Positive
555,Negative,Negative,Neutral,Neutral,Neutral,Negative
556,Positive,Positive,Neutral,Neutral,Neutral,Positive
557,Positive,Positive,Neutral,Neutral,Neutral,Positive
558,Negative,Negative,Negative,Neutral,Neutral,Negative
559,Positive,Positive,Neutral,Neutral,Neutral,Positive
560,Neutral,Neutral,Neutral,Negative,Neutral,Negative
561,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
562,Negative,Negative,Neutral,Neutral,Neutral,Negative
563,Negative,Negative,Neutral,Neutral,Neutral,Negative
564,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
565,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
566,Neutral,Positive,Neutral,Neutral,Neutral,Neutral
567,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
568,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
569,Positive,Positive,Neutral,Neutral,Neutral,Positive
570,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
571,Negative,Neutral,Neutral,Negative,Neutral,Negative
572,Positive,Neutral,Neutral,Neutral,Neutral,Negative
573,Positive,Positive,Neutral,Neutral,Neutral,Positive
574,Positive,Positive,Neutral,Neutral,Neutral,Positive
575,Positive,Positive,Neutral,Neutral,Neutral,Positive
576,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
577,Positive,Positive,Neutral,Neutral,Neutral,Positive
578,Positive,Positive,Neutral,Neutral,Neutral,Positive
579,Negative,Negative,Negative,Negative,Neutral,Neutral
580,Positive,Positive,Neutral,Neutral,Neutral,Positive
581,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
582,Neutral,Neutral,Neutral,Positive,Positive,Neutral
583,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
584,Neutral,Positive,Neutral,Neutral,Neutral,Neutral
585,Positive,Positive,Neutral,Neutral,Neutral,Positive
586,Positive,Positive,Positive,Neutral,Neutral,Neutral
587,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
588,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
589,Positive,Neutral,Neutral,Negative,Neutral,Positive
590,Negative,Neutral,Neutral,Neutral,Neutral,Negative
591,Negative,Neutral,Neutral,Neutral,Neutral,Negative
592,Positive,Positive,Neutral,Neutral,Neutral,Positive
593,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
594,Positive,Positive,Neutral,Neutral,Neutral,Positive
595,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
596,Negative,Negative,Negative,Negative,Neutral,Neutral
597,Positive,Positive,Neutral,Neutral,Neutral,Positive
598,Positive,Positive,Neutral,Neutral,Neutral,Positive
599,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
600,Positive,Positive,Neutral,Neutral,Neutral,Positive
601,Positive,Positive,Neutral,Neutral,Neutral,Positive
602,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
603,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
604,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
605,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
606,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
607,Positive,Positive,Positive,Positive,Neutral,Positive
608,Positive,Positive,Neutral,Neutral,Neutral,Positive
609,Positive,Positive,Neutral,Neutral,Neutral,Positive
610,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
611,Positive,Positive,Neutral,Neutral,Neutral,Positive
612,Negative,Negative,Neutral,Negative,Neutral,Negative
613,Positive,Positive,Neutral,Neutral,Neutral,Positive
614,Positive,Positive,Neutral,Neutral,Neutral,Positive
615,Positive,Positive,Neutral,Neutral,Neutral,Positive
616,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
617,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
618,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
619,Positive,Positive,Neutral,Neutral,Neutral,Positive
620,Positive,Positive,Neutral,Neutral,Neutral,Positive
621,Positive,Positive,Neutral,Neutral,Neutral,Positive
622,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
623,Positive,Positive,Neutral,Neutral,Neutral,Positive
624,Positive,Positive,Neutral,Neutral,Neutral,Positive
625,Positive,Positive,Neutral,Neutral,Neutral,Positive
626,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
627,Neutral,Neutral,Neutral,Positive,Positive,Neutral
628,Positive,Positive,Neutral,Neutral,Neutral,Positive
629,Positive,Positive,Neutral,Neutral,Neutral,Positive
630,Positive,Positive,Neutral,Neutral,Neutral,Positive
631,Positive,Positive,Neutral,Neutral,Neutral,Positive
632,Neutral,Neutral,Neutral,Positive,Positive,Neutral
633,Neutral,Neutral,Neutral,Positive,Positive,Neutral
634,Positive,Positive,Positive,Neutral,Neutral,Positive
635,Positive,Positive,Neutral,Neutral,Neutral,Positive
636,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
637,Neutral,Neutral,Neutral,Positive,Positive,Neutral
638,Positive,Positive,Neutral,Neutral,Neutral,Positive
639,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
640,Neutral,Neutral,Neutral,Positive,Positive,Neutral
641,Positive,Positive,Neutral,Neutral,Neutral,Positive
642,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
643,Positive,Positive,Neutral,Neutral,Neutral,Positive
644,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
645,Positive,Neutral,Neutral,Neutral,Neutral,Positive
646,Positive,Neutral,Neutral,Neutral,Neutral,Positive
647,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
648,Neutral,Positive,Positive,Neutral,Neutral,Neutral
649,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
650,Positive,Positive,Positive,Neutral,Neutral,Neutral
651,Positive,Positive,Neutral,Neutral,Neutral,Positive
652,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
653,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
654,Positive,Positive,Neutral,Neutral,Neutral,Positive
655,Positive,Positive,Neutral,Neutral,Neutral,Positive
656,Neutral,Neutral,Neutral,Positive,Positive,Neutral
657,Positive,Positive,Neutral,Neutral,Neutral,Positive
658,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
659,Positive,Positive,Neutral,Neutral,Neutral,Positive
660,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
661,Positive,Positive,Neutral,Neutral,Neutral,Positive
662,Positive,Positive,Neutral,Neutral,Neutral,Positive
663,Neutral,Neutral,Neutral,Positive,Positive,Neutral
664,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
665,Positive,Positive,Neutral,Neutral,Neutral,Positive
666,Positive,Positive,Neutral,Neutral,Neutral,Positive
667,Positive,Positive,Neutral,Positive,Positive,Neutral
668,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
669,Positive,Neutral,Neutral,Positive,Positive,Neutral
670,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
671,Neutral,Neutral,Neutral,Positive,Positive,Neutral
672,Neutral,Neutral,Neutral,Positive,Positive,Neutral
673,Positive,Positive,Neutral,Neutral,Neutral,Positive
674,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
675,Neutral,Positive,Neutral,Neutral,Neutral,Positive
676,Positive,Neutral,Neutral,Neutral,Positive,Positive
677,Positive,Positive,Neutral,Neutral,Neutral,Positive
678,Positive,Positive,Neutral,Neutral,Neutral,Positive
679,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
680,Neutral,Neutral,Neutral,Positive,Positive,Neutral
681,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
682,Positive,Positive,Neutral,Neutral,Neutral,Positive
683,Negative,Neutral,Neutral,Neutral,Neutral,Neutral
684,Neutral,Positive,Positive,Neutral,Neutral,Positive
685,Positive,Positive,Neutral,Neutral,Neutral,Positive
686,Positive,Positive,Neutral,Neutral,Neutral,Positive
687,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
688,Neutral,Neutral,Neutral,Positive,Positive,Neutral
689,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
690,Positive,Positive,Neutral,Neutral,Neutral,Positive
691,Positive,Positive,Neutral,Neutral,Neutral,Positive
692,Positive,Positive,Neutral,Neutral,Neutral,Positive
693,Positive,Positive,Neutral,Neutral,Neutral,Positive
694,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
695,Positive,Positive,Neutral,Neutral,Positive,Positive
696,Positive,Positive,Neutral,Neutral,Neutral,Positive
697,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
698,Positive,Positive,Neutral,Neutral,Neutral,Positive
699,Negative,Neutral,Neutral,Negative,Neutral,Neutral
700,Positive,Neutral,Neutral,Neutral,Neutral,Positive
701,Neutral,Neutral,Neutral,Positive,Positive,Neutral
702,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
703,Positive,Positive,Positive,Neutral,Neutral,Positive
704,Neutral,Positive,Neutral,Neutral,Neutral,Positive
705,Positive,Positive,Neutral,Neutral,Neutral,Positive
706,Positive,Positive,Neutral,Neutral,Neutral,Positive
707,Positive,Positive,Neutral,Neutral,Neutral,Positive
708,Positive,Positive,Neutral,Neutral,Neutral,Positive
709,Positive,Positive,Neutral,Neutral,Neutral,Positive
710,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
711,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
712,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
713,Neutral,Neutral,Positive,Positive,Positive,Neutral
714,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
715,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
716,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
717,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
718,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
719,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
720,Neutral,Negative,Neutral,Neutral,Neutral,Neutral
721,Neutral,Neutral,Neutral,Positive,Positive,Neutral
722,Positive,Positive,Neutral,Neutral,Neutral,Positive
723,Neutral,Neutral,Neutral,Positive,Positive,Neutral
724,Neutral,Neutral,Neutral,Positive,Positive,Neutral
725,Positive,Neutral,Neutral,Neutral,Neutral,Positive
726,Positive,Positive,Neutral,Neutral,Neutral,Positive
727,Neutral,Neutral,Neutral,Positive,Neutral,Positive
728,Neutral,Neutral,Neutral,Positive,Neutral,Positive
729,Positive,Positive,Neutral,Neutral,Neutral,Positive
730,Neutral,Neutral,Neutral,Positive,Positive,Neutral
731,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
732,Positive,Positive,Neutral,Neutral,Neutral,Positive
733,Positive,Positive,Neutral,Neutral,Neutral,Positive
734,Positive,Positive,Neutral,Neutral,Neutral,Positive
735,Positive,Positive,Neutral,Neutral,Neutral,Positive
736,Neutral,Neutral,Neutral,Positive,Positive,Neutral
737,Positive,Positive,Neutral,Neutral,Neutral,Positive
738,Neutral,Neutral,Neutral,Positive,Positive,Neutral
739,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
740,Neutral,Neutral,Neutral,Positive,Positive,Neutral
741,Positive,Positive,Neutral,Neutral,Neutral,Positive
742,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
743,Positive,Positive,Neutral,Neutral,Neutral,Positive
744,Positive,Positive,Neutral,Neutral,Neutral,Positive
745,Neutral,Neutral,Neutral,Negative,Positive,Neutral
746,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
747,Positive,Positive,Neutral,Neutral,Neutral,Positive
748,Positive,Positive,Neutral,Neutral,Neutral,Positive
749,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
750,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
751,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
752,Positive,Positive,Neutral,Neutral,Neutral,Positive
753,Positive,Positive,Neutral,Neutral,Neutral,Positive
754,Positive,Positive,Neutral,Neutral,Neutral,Positive
755,Neutral,Neutral,Neutral,Positive,Positive,Neutral
756,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
757,Positive,Positive,Neutral,Neutral,Neutral,Positive
758,Neutral,Neutral,Neutral,Positive,Positive,Neutral
759,Positive,Positive,Neutral,Neutral,Neutral,Positive
760,Positive,Positive,Neutral,Neutral,Neutral,Positive
761,Positive,Positive,Neutral,Neutral,Neutral,Positive
762,Positive,Positive,Neutral,Neutral,Neutral,Positive
763,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
764,Neutral,Neutral,Neutral,Negative,Positive,Neutral
765,Positive,Positive,Neutral,Neutral,Neutral,Positive
766,Positive,Positive,Neutral,Neutral,Neutral,Positive
767,Positive,Positive,Neutral,Neutral,Neutral,Positive
768,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
769,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
770,Positive,Positive,Neutral,Neutral,Neutral,Positive
771,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
772,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
773,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
774,Positive,Positive,Neutral,Neutral,Neutral,Positive
775,Neutral,Positive,Positive,Neutral,Neutral,Neutral
776,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
777,Neutral,Neutral,Neutral,Positive,Positive,Neutral
778,Neutral,Neutral,Neutral,Positive,Positive,Neutral
779,Neutral,Neutral,Neutral,Positive,Positive,Neutral
780,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
781,Positive,Positive,Neutral,Neutral,Neutral,Positive
782,Positive,Positive,Neutral,Neutral,Neutral,Positive
783,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
784,Positive,Positive,Neutral,Neutral,Neutral,Positive
785,Neutral,Neutral,Neutral,Positive,Positive,Neutral
786,Positive,Positive,Neutral,Neutral,Neutral,Positive
787,Positive,Positive,Neutral,Positive,Positive,Neutral
788,Positive,Positive,Neutral,Neutral,Neutral,Positive
789,Positive,Positive,Neutral,Neutral,Neutral,Positive
790,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
791,Positive,Positive,Neutral,Neutral,Neutral,Positive
792,Neutral,Neutral,Neutral,Positive,Positive,Neutral
793,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
794,Positive,Positive,Neutral,Neutral,Neutral,Positive
795,Positive,Positive,Neutral,Neutral,Neutral,Positive
796,Neutral,Negative,Neutral,Neutral,Neutral,Positive
797,Positive,Positive,Neutral,Neutral,Neutral,Positive
798,Positive,Positive,Neutral,Neutral,Neutral,Positive
799,Negative,Negative,Neutral,Negative,Neutral,Neutral
800,Neutral,Neutral,Neutral,Positive,Positive,Neutral
801,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
802,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
803,Neutral,Positive,Negative,Neutral,Neutral,Neutral
804,Positive,Positive,Neutral,Neutral,Neutral,Positive
805,Positive,Positive,Neutral,Neutral,Neutral,Positive
806,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
807,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
808,Positive,Positive,Neutral,Neutral,Neutral,Positive
809,Neutral,Neutral,Neutral,Positive,Positive,Neutral
810,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
811,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
812,Neutral,Neutral,Neutral,Positive,Positive,Neutral
813,Positive,Positive,Neutral,Neutral,Neutral,Positive
814,Positive,Positive,Neutral,Neutral,Positive,Positive
815,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
816,Neutral,Neutral,Neutral,Positive,Positive,Neutral
817,Positive,Positive,Positive,Neutral,Positive,Positive
818,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
819,Positive,Positive,Neutral,Neutral,Neutral,Positive
820,Neutral,Negative,Negative,Negative,Neutral,Neutral
821,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
822,Neutral,Neutral,Neutral,Positive,Positive,Neutral
823,Positive,Positive,Neutral,Neutral,Neutral,Positive
824,Positive,Positive,Neutral,Neutral,Neutral,Positive
825,Neutral,Negative,Negative,Positive,Positive,Neutral
826,Positive,Positive,Neutral,Neutral,Neutral,Positive
827,Negative,Neutral,Negative,Negative,Neutral,Neutral
828,Positive,Positive,Neutral,Neutral,Neutral,Positive
829,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
830,Positive,Positive,Positive,Neutral,Neutral,Positive
831,Positive,Neutral,Neutral,Neutral,Neutral,Positive
832,Positive,Positive,Neutral,Neutral,Neutral,Positive
833,Neutral,Neutral,Negative,Neutral,Neutral,Positive
834,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
835,Positive,Positive,Neutral,Neutral,Neutral,Positive
836,Positive,Neutral,Neutral,Neutral,Neutral,Positive
837,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
838,Positive,Positive,Neutral,Neutral,Neutral,Positive
839,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
840,Neutral,Neutral,Neutral,Positive,Positive,Neutral
841,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
842,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
843,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
844,Neutral,Neutral,Neutral,Negative,Neutral,Negative
845,Neutral,Neutral,Negative,Positive,Positive,Neutral
846,Neutral,Neutral,Negative,Neutral,Neutral,Neutral
847,Negative,Negative,Negative,Negative,Neutral,Negative
848,Positive,Positive,Neutral,Neutral,Neutral,Positive
849,Positive,Positive,Neutral,Neutral,Neutral,Positive
850,Negative,Neutral,Neutral,Neutral,Neutral,Negative
851,Negative,Neutral,Negative,Neutral,Neutral,Negative
852,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
853,Neutral,Neutral,Negative,Neutral,Neutral,Neutral
854,Positive,Positive,Neutral,Neutral,Neutral,Positive
855,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
856,Positive,Neutral,Positive,Neutral,Neutral,Neutral
857,Neutral,Positive,Positive,Neutral,Neutral,Neutral
858,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
859,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
860,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
861,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
862,Positive,Positive,Neutral,Neutral,Neutral,Positive
863,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
864,Positive,Positive,Neutral,Neutral,Neutral,Positive
865,Positive,Positive,Neutral,Neutral,Neutral,Positive
866,Positive,Positive,Neutral,Neutral,Neutral,Positive
867,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
868,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
869,Positive,Positive,Positive,Neutral,Positive,Positive
870,Positive,Positive,Positive,Neutral,Positive,Positive
871,Positive,Neutral,Neutral,Neutral,Neutral,Positive
872,Positive,Positive,Neutral,Neutral,Neutral,Positive
873,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
874,Positive,Positive,Neutral,Neutral,Neutral,Positive
875,Positive,Positive,Neutral,Neutral,Neutral,Positive
876,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
877,Positive,Positive,Neutral,Neutral,Neutral,Positive
878,Positive,Positive,Neutral,Neutral,Neutral,Positive
879,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
880,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
881,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
882,Positive,Positive,Neutral,Neutral,Neutral,Positive
883,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
884,Positive,Neutral,Neutral,Neutral,Neutral,Positive
885,Positive,Positive,Positive,Neutral,Positive,Positive
886,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
887,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
888,Positive,Positive,Neutral,Neutral,Positive,Positive
889,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
890,Positive,Positive,Neutral,Neutral,Neutral,Positive
891,Positive,Positive,Neutral,Neutral,Neutral,Positive
892,Positive,Positive,Neutral,Neutral,Neutral,Positive
893,Positive,Positive,Neutral,Neutral,Neutral,Positive
894,Positive,Positive,Neutral,Positive,Positive,Positive
895,Positive,Neutral,Neutral,Positive,Neutral,Positive
896,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
897,Positive,Positive,Neutral,Neutral,Neutral,Positive
898,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
899,Positive,Neutral,Neutral,Neutral,Neutral,Positive
900,Positive,Positive,Neutral,Neutral,Neutral,Positive
901,Positive,Neutral,Neutral,Neutral,Neutral,Positive
902,Positive,Neutral,Neutral,Neutral,Neutral,Positive
903,Neutral,Neutral,Neutral,Neutral,Neutral,Positive
904,Neutral,Neutral,Neutral,Neutral,Neutral,Negative
905,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
906,Neutral,Positive,Neutral,Neutral,Neutral,Neutral
907,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
908,Positive,Positive,Neutral,Neutral,Neutral,Positive
909,Positive,Positive,Neutral,Neutral,Neutral,Positive
910,Neutral,Neutral,Neutral,Negative,Neutral,Negative
911,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
912,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
913,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
914,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
915,Positive,Positive,Neutral,Neutral,Neutral,Positive
916,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
917,Negative,Neutral,Neutral,Neutral,Neutral,Negative
918,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
919,Neutral,Neutral,Neutral,Neutral,Neutral,Negative
920,Neutral,Neutral,Neutral,Neutral,Neutral,Negative
921,Positive,Positive,Neutral,Neutral,Neutral,Positive
922,Neutral,Neutral,Negative,Negative,Neutral,Negative
923,Positive,Positive,Neutral,Neutral,Neutral,Positive
924,Positive,Positive,Neutral,Neutral,Neutral,Positive
925,Positive,Positive,Neutral,Neutral,Neutral,Positive
