Source,Unique_ID,Ticker,Date,URL,Finance,Production,Reserves / Exploration / Acquisitions / Mergers / Divestments,Environment / Regulatory / Geopolitics,Alternative Energy / Lower Carbon,Oil Price / Natural Gas Price / Gasoline Price
Earnings Call Presentations,EP-210 10,SHEL,2021-10-28,,Positive,Neutral,Neutral,Positive,Positive,Neutral
Earnings Call Presentations,EP-257 1,BP,2022-11-01,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-257 2,BP,2022-11-01,,Positive,Neutral,Positive,Neutral,Positive,Positive
Earnings Call Presentations,EP-257 3,BP,2022-11-01,,Positive,Neutral,Positive,Neutral,Positive,Positive
Earnings Call Presentations,EP-257 4,BP,2022-11-01,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-257 5,BP,2022-11-01,,Positive,Neutral,Positive,Neutral,Positive,Positive
Earnings Call Presentations,EP-257 6,BP,2022-11-01,,Positive,Positive,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-257 7,BP,2022-11-01,,Positive,Neutral,Negative,Neutral,Positive,Neutral
Earnings Call Presentations,EP-257 8,BP,2022-11-01,,Positive,Neutral,Positive,Neutral,Positive,Positive
Earnings Call Presentations,EP-257 9,BP,2022-11-01,,Positive,Neutral,Neutral,Neutral,Positive,Positive
Earnings Call Presentations,EP-257 10,BP,2022-11-01,,Positive,Neutral,Positive,Neutral,Positive,Positive
Earnings Call Presentations,EP-98 1,DVN,2021-02-17,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-98 2,DVN,2021-02-17,,Positive,Positive,Positive,Neutral,Neutral,Neutral
Earnings Call Presentations,EP-98 3,DVN,2021-02-17,,Positive,Positive,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-98 4,DVN,2021-02-17,,Positive,Positive,Positive,Positive,Neutral,Neutral
Earnings Call Presentations,EP-98 5,DVN,2021-02-17,,Positive,Positive,Positive,Neutral,Neutral,Positive
Earnings Call Presentations,EP-98 6,DVN,2021-02-17,,Positive,Positive,Positive,Neutral,Neutral,Neutral
Earnings Call Presentations,EP-98 7,DVN,2021-02-17,,Positive,Positive,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-98 8,DVN,2021-02-17,,Positive,Positive,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-98 9,DVN,2021-02-17,,Positive,Positive,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-98 10,DVN,2021-02-17,,Positive,Neutral,Positive,Neutral,Neutral,Neutral
Earnings Call Presentations,EP-33 1,VLO,2019-04-25,,Positive,Neutral,Positive,Neutral,Positive,Positive
Earnings Call Presentations,EP-33 2,VLO,2019-04-25,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-33 3,VLO,2019-04-25,,Positive,Neutral,Positive,Neutral,Positive,Negative
Earnings Call Presentations,EP-33 4,VLO,2019-04-25,,Positive,Positive,Neutral,Neutral,Positive,Negative
Earnings Call Presentations,EP-33 5,VLO,2019-04-25,,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
Earnings Call Presentations,EP-33 6,VLO,2019-04-25,,Positive,Neutral,Neutral,Neutral,Positive,Neutral
Earnings Call Presentations,EP-33 7,VLO,2019-04-25,,Positive,Positive,Neutral,Neutral,Positive,Neutral
Earnings Call Presentations,EP-33 8,VLO,2019-04-25,,Positive,Positive,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-33 9,VLO,2019-04-25,,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
Earnings Call Presentations,EP-33 10,VLO,2019-04-25,,Positive,Neutral,Neutral,Neutral,Positive,Positive
Earnings Call Presentations,EP-10 1,CVX,2022-01-28,,Positive,Neutral,Positive,Positive,Positive,Neutral
Earnings Call Presentations,EP-10 2,CVX,2022-01-28,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-10 3,CVX,2022-01-28,,Positive,Neutral,Positive,Positive,Positive,Neutral
Earnings Call Presentations,EP-10 4,CVX,2022-01-28,,Positive,Neutral,Neutral,Positive,Positive,Neutral
Earnings Call Presentations,EP-10 5,CVX,2022-01-28,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Presentations,EP-10 6,CVX,2022-01-28,,Positive,Neutral,Neutral,Neutral,Positive,Neutral
Earnings Call Presentations,EP-10 7,CVX,2022-01-28,,Positive,Neutral,Positive,Positive,Positive,Neutral
Earnings Call Presentations,EP-10 8,CVX,2022-01-28,,Positive,Positive,Neutral,Positive,Positive,Positive
Earnings Call Presentations,EP-10 9,CVX,2022-01-28,,Positive,Positive,Neutral,Positive,Positive,Neutral
Earnings Call Presentations,EP-10 10,CVX,2022-01-28,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-167 1,VLO,2023-04-27,,Positive,Positive,Neutral,Negative,Positive,Neutral
Earnings Call Q&A,EQ-167 2,VLO,2023-04-27,,Positive,Positive,Neutral,Negative,Positive,Neutral
Earnings Call Q&A,EQ-167 3,VLO,2023-04-27,,Positive,Positive,Neutral,Negative,Positive,Neutral
Earnings Call Q&A,EQ-167 4,VLO,2023-04-27,,Positive,Positive,Neutral,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-167 5,VLO,2023-04-27,,Positive,Positive,Positive,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-167 6,VLO,2023-04-27,,Positive,Positive,Neutral,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-167 7,VLO,2023-04-27,,Positive,Positive,Neutral,Negative,Positive,Neutral
Earnings Call Q&A,EQ-167 8,VLO,2023-04-27,,Positive,Positive,Neutral,Negative,Positive,Neutral
Earnings Call Q&A,EQ-167 9,VLO,2023-04-27,,Positive,Positive,Neutral,Negative,Positive,Neutral
Earnings Call Q&A,EQ-167 10,VLO,2023-04-27,,Positive,Positive,Neutral,Negative,Positive,Neutral
Earnings Call Q&A,EQ-7 1,CVX,2022-10-28,,Positive,Positive,Positive,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-7 2,CVX,2022-10-28,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-7 3,CVX,2022-10-28,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-7 4,CVX,2022-10-28,,Positive,Positive,Positive,Neutral,Positive,Positive
Earnings Call Q&A,EQ-7 5,CVX,2022-10-28,,Positive,Positive,Positive,Neutral,Positive,Positive
Earnings Call Q&A,EQ-7 6,CVX,2022-10-28,,Positive,Positive,Positive,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-7 7,CVX,2022-10-28,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-7 8,CVX,2022-10-28,,Positive,Positive,Positive,Neutral,Positive,Positive
Earnings Call Q&A,EQ-7 9,CVX,2022-10-28,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-7 10,CVX,2022-10-28,,Positive,Positive,Positive,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-115 1,OXY,2021-08-04,,Positive,Positive,Neutral,Positive,Positive,Positive
Earnings Call Q&A,EQ-115 2,OXY,2021-08-04,,Positive,Positive,Positive,Positive,Positive,Neutral
Earnings Call Q&A,EQ-115 3,OXY,2021-08-04,,Positive,Neutral,Positive,Positive,Positive,Positive
Earnings Call Q&A,EQ-115 4,OXY,2021-08-04,,Positive,Positive,Positive,Positive,Positive,Positive
Earnings Call Q&A,EQ-115 5,OXY,2021-08-04,,Positive,Positive,Positive,Positive,Positive,Positive
Earnings Call Q&A,EQ-115 6,OXY,2021-08-04,,Positive,Positive,Positive,Positive,Positive,Neutral
Earnings Call Q&A,EQ-115 7,OXY,2021-08-04,,Positive,Positive,Positive,Positive,Positive,Neutral
Earnings Call Q&A,EQ-115 8,OXY,2021-08-04,,Positive,Positive,Positive,Positive,Positive,Positive
Earnings Call Q&A,EQ-115 9,OXY,2021-08-04,,Positive,Positive,Positive,Positive,Positive,Neutral
Earnings Call Q&A,EQ-115 10,OXY,2021-08-04,,Positive,Positive,Neutral,Positive,Positive,Neutral
Earnings Call Q&A,EQ-72 1,DVN,2020-05-06,,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
Earnings Call Q&A,EQ-72 2,DVN,2020-05-06,,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
Earnings Call Q&A,EQ-72 3,DVN,2020-05-06,,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
Earnings Call Q&A,EQ-72 4,DVN,2020-05-06,,Positive,Neutral,Positive,Neutral,Neutral,Neutral
Earnings Call Q&A,EQ-72 5,DVN,2020-05-06,,Positive,Neutral,Neutral,Neutral,Neutral,Negative
Earnings Call Q&A,EQ-72 6,DVN,2020-05-06,,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
Earnings Call Q&A,EQ-72 7,DVN,2020-05-06,,Positive,Neutral,Neutral,Neutral,Neutral,Negative
Earnings Call Q&A,EQ-72 8,DVN,2020-05-06,,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
Earnings Call Q&A,EQ-72 9,DVN,2020-05-06,,Positive,Neutral,Neutral,Neutral,Neutral,Negative
Earnings Call Q&A,EQ-72 10,DVN,2020-05-06,,Positive,Neutral,Neutral,Neutral,Neutral,Negative
Earnings Call Q&A,EQ-132 1,OXY,2022-02-25,,Positive,Neutral,Neutral,Positive,Positive,Neutral
Earnings Call Q&A,EQ-132 2,OXY,2022-02-25,,Positive,Neutral,Positive,Neutral,Positive,Neutral
Earnings Call Q&A,EQ-132 3,OXY,2022-02-25,,Positive,Neutral,Neutral,Neutral,Positive,Positive
Earnings Call Q&A,EQ-132 4,OXY,2022-02-25,,Positive,Neutral,Neutral,Neutral,Positive,Positive
Earnings Call Q&A,EQ-132 5,OXY,2022-02-25,,Positive,Neutral,Neutral,Neutral,Positive,Positive
Earnings Call Q&A,EQ-132 6,OXY,2022-02-25,,Positive,Neutral,Neutral,Neutral,Neutral,Positive
Earnings Call Q&A,EQ-132 7,OXY,2022-02-25,,Positive,Neutral,Positive,Neutral,Positive,Positive
Earnings Call Q&A,EQ-132 8,OXY,2022-02-25,,Positive,Neutral,Neutral,Neutral,Positive,Positive
Earnings Call Q&A,EQ-132 9,OXY,2022-02-25,,Positive,Neutral,Neutral,Neutral,Positive,Positive
Earnings Call Q&A,EQ-132 10,OXY,2022-02-25,,Positive,Neutral,Neutral,Neutral,Positive,Neutral
